name,U_n,I_max_th,R,L,C
#-,kV,A,ohm/km,mH/km,uF/km,-
NA2XS2Y 3x1x185 RM/25,10,357,0.164,0.38,0.41
NA2XS2Y 3x1x240 RM/25,10,417,0.125,0.36,0.47
NA2XS2Y 3x1x300 RM/25,10,466,0.1,0.35,0.495
NA2XS2Y 3x1x400 RM/35,10,535,0.078,0.34,0.57
NA2XS2Y 3x1x500 RM/35,10,609,0.061,0.32,0.63
NA2XS2Y 3x1x150 RE/25,20,319,0.206,0.4011,0.24
NA2XS2Y 3x1x240,20,417,0.13,0.3597,0.304
NA2XS(FL)2Y 3x1x300 RM/25,20,476,0.1,0.37,0.25
NA2XS(FL)2Y 3x1x400 RM/35,20,525,0.078,0.36,0.27
NA2XS(FL)2Y 3x1x500 RM/35,20,598,0.06,0.34,0.3
